sound_code,слово,sound,sound_trigger,метка_seq1,название категории,,pic_name,№_pic,pic,№_old,pic_code,pic_file,pic_trigger,quest1_a,quest1_a_sound_id,quest1_a_sound,quest1_a_trigger,ans,quest1_b,quest1_b_sound_id,quest1_b_sound,quest1_b_sound_trigger,quest2_b,quest2_b_sound_id,quest2_b_sound,ans,quest2_b_sound_trigger,ac_row,Дистракторы,dis_for_EE,dis_for_FM,Экспл_реал,FM_цель,FM_Экспл_реал,,Тропики,Огород,Тропики_короткие,Ogorod_short,,,,,,,Новые_понятия,,Известные_понятия,,,
300,Tomato,sound\\Ogorodniy_plod.wav,119,12,импл_реал_без_названия,импл_,Tomat,_1,Tomat_1,,2057,pics\\Tomat_1.jpg,207,,217,sound\\Celiy_li.wav,801,да,,0,0,0,,0,0,0,0,2159,pics\\Injir_7.jpg,0,pics\\Banan_1.jpg,,sound\\Ogorod,pics\\Limon_1.jpg,pics\\Limon,pics\\Limon_1.jpg,,pics\\Limon_1.jpg,pics\\Redis_1.jpg,0.576781571,pics\\Banan_1.jpg,pics\\Goroh_1.jpg,pics\\Banan_1.jpg,,0.529436247,sound\\Noviy_plod.wav,sound\\Noviy_plod.wav,sound\\Ogorodniy_plod.wav,,,
300,Tomato,sound\\Ogorodniy_plod.wav,119,12,импл_реал_без_названия,импл_,Tomat,_2,Tomat_2,,2058,pics\\Tomat_2.jpg,207,,218,sound\\Myasistiy_li.wav,801,да,,0,0,0,,0,0,0,0,2035,pics\\Limon_3.jpg,0,pics\\Limon_3.jpg,,sound\\Ogorod,pics\\Limon_2.jpg,pics\\Limon,pics\\Limon_2.jpg,,pics\\Limon_2.jpg,pics\\Redis_2.jpg,0.891273779,pics\\Limon_3.jpg,pics\\Redis_3.jpg,pics\\Limon_3.jpg,,0.794930364,sound\\Noviy_plod.wav,sound\\Noviy_plod.wav,sound\\Ogorodniy_plod.wav,,,
300,Tomato,sound\\Ogorodniy_plod.wav,119,12,импл_реал_без_названия,импл_,Tomat,_3,Tomat_3,,2059,pics\\Tomat_3.jpg,207,,219,sound\\Gorkiy_li.wav,801,нет,,0,0,0,,0,0,0,0,2160,pics\\Injir_8.jpg,0,pics\\Injir_8.jpg,,sound\\Ogorod,pics\\Limon_3.jpg,pics\\Limon,pics\\Limon_3.jpg,,pics\\Limon_3.jpg,pics\\Redis_3.jpg,0.040206119,pics\\Injir_8.jpg,pics\\Tikva_8.jpg,pics\\Injir_8.jpg,,0.448983279,sound\\Noviy_plod.wav,sound\\Redkiy_plod.wav,sound\\Ogorodniy_plod.wav,,,
300,Tomato,sound\\Ogorodniy_plod.wav,119,12,импл_реал_без_названия,импл_,Tomat,_4,Tomat_4,,2060,pics\\Tomat_4.jpg,207,,220,sound\\Yarkiy_li.wav,801,да,,0,0,0,,0,0,0,0,2154,pics\\Injir_2.jpg,0,pics\\Injir_2.jpg,,sound\\Ogorod,pics\\Limon_4.jpg,pics\\Limon,pics\\Limon_4.jpg,,pics\\Limon_4.jpg,pics\\Redis_4.jpg,0.212246851,pics\\Injir_2.jpg,pics\\Tikva_2.jpg,pics\\Injir_2.jpg,,0.192859617,sound\\Noviy_plod.wav,sound\\Redkiy_plod.wav,sound\\Ogorodniy_plod.wav,,,
300,Tomato,sound\\Ogorodniy_plod.wav,119,12,импл_реал_без_названия,импл_,Tomat,_5,Tomat_5,,2061,pics\\Tomat_5.jpg,207,,221,sound\\Ostriy_li.wav,801,нет,,0,0,0,,0,0,0,0,2159,pics\\Injir_7.jpg,0,pics\\Injir_7.jpg,,sound\\Ogorod,pics\\Limon_5.jpg,pics\\Limon,pics\\Limon_5.jpg,,pics\\Limon_5.jpg,pics\\Redis_5.jpg,0.058876519,pics\\Injir_7.jpg,pics\\Tikva_7.jpg,pics\\Injir_7.jpg,,0.020626856,sound\\Noviy_plod.wav,sound\\Redkiy_plod.wav,sound\\Ogorodniy_plod.wav,,,
300,Tomato,sound\\Ogorodniy_plod.wav,119,12,импл_реал_без_названия,импл_,Tomat,_6,Tomat_6,,2062,pics\\Tomat_6.jpg,207,,222,sound\\Speliy_li.wav,801,да,,0,0,0,,0,0,0,0,2003,pics\\Banan_3.jpg,0,pics\\Banan_3.jpg,,sound\\Ogorod,pics\\Limon_6.jpg,pics\\Limon,pics\\Limon_6.jpg,,pics\\Limon_6.jpg,pics\\Redis_6.jpg,0.388551762,pics\\Banan_3.jpg,pics\\Goroh_3.jpg,pics\\Banan_3.jpg,,0.160625226,sound\\Noviy_plod.wav,sound\\Redkiy_plod.wav,sound\\Ogorodniy_plod.wav,,,
300,Tomato,sound\\Ogorodniy_plod.wav,119,12,импл_реал_без_названия,импл_,Tomat,_7,Tomat_7,,2063,pics\\Tomat_7.jpg,207,,223,sound\\Seriy_li.wav,801,нет,,0,0,0,,0,0,0,0,2156,pics\\Injir_4.jpg,0,pics\\Injir_4.jpg,,sound\\Ogorod,pics\\Limon_7.jpg,pics\\Limon,pics\\Limon_7.jpg,,pics\\Limon_7.jpg,pics\\Redis_7.jpg,0.154066506,pics\\Injir_4.jpg,pics\\Tikva_4.jpg,pics\\Injir_4.jpg,,0.557500261,sound\\Noviy_plod.wav,sound\\Noviy_plod.wav,sound\\Ogorodniy_plod.wav,,,
300,Tomato,sound\\Ogorodniy_plod.wav,119,12,импл_реал_без_названия,импл_,Tomat,_8,Tomat_8,,2064,pics\\Tomat_8.jpg,207,,224,sound\\Vyazskiy_li.wav,801,нет,,0,0,0,,0,0,0,0,2034,pics\\Limon_2.jpg,0,pics\\Limon_2.jpg,,sound\\Ogorod,pics\\Limon_8.jpg,pics\\Limon,pics\\Limon_8.jpg,,pics\\Limon_8.jpg,pics\\Redis_8.jpg,0.992372345,pics\\Limon_2.jpg,pics\\Redis_2.jpg,pics\\Limon_2.jpg,,0.967955304,sound\\Noviy_plod.wav,sound\\Noviy_plod.wav,sound\\Ogorodniy_plod.wav,,,
299,Lemon,sound\\Tropicheskiy_plod.wav,118,13,экспл_реал_без_названия,экспл,Limon,_1,Limon_1,,2033,pics\\Limon_1.jpg,204,,0,0,0,0,,289,sound\\Na_ecrane.wav,801,,65,sound\\On_stariy.wav,нет,804,2198,pics\\dis42.jpg,pics\\dis42.jpg,,pics\\Limon_1.jpg,0,pics\\Redis_1.jpg,pics\\Redis,,pics\\Redis_1.jpg,pics\\Banan_1.jpg,pics\\Goroh_1.jpg,0.355598533,pics\\Banan_4.jpg,pics\\Goroh_4.jpg,,,0.281262392,sound\\Noviy_plod.wav,sound\\Redkiy_plod.wav,sound\\Tropicheskiy_plod.wav,,,
299,Lemon,sound\\Tropicheskiy_plod.wav,118,13,экспл_реал_без_названия,экспл,Limon,_2,Limon_2,,2034,pics\\Limon_2.jpg,204,,0,0,0,0,,290,sound\\Posmotrite_vot.wav,801,,66,sound\\Siniy_li_on.wav,нет,804,2183,pics\\dis18.jpg,pics\\dis18.jpg,,pics\\Limon_2.jpg,0,pics\\Redis_2.jpg,pics\\Redis,,pics\\Redis_2.jpg,pics\\Banan_2.jpg,pics\\Goroh_2.jpg,0.660033935,pics\\Limon_8.jpg,pics\\Redis_8.jpg,,,0.584790561,sound\\Noviy_plod.wav,sound\\Noviy_plod.wav,sound\\Tropicheskiy_plod.wav,,,
299,Lemon,sound\\Tropicheskiy_plod.wav,118,13,экспл_реал_без_названия,экспл,Limon,_3,Limon_3,,2035,pics\\Limon_3.jpg,204,,0,0,0,0,,291,sound\\Vot.wav,801,,67,sound\\On_s_cedroy.wav,да,804,2208,pics\\dis45.jpg,pics\\dis45.jpg,,pics\\Limon_3.jpg,0,pics\\Redis_3.jpg,pics\\Redis,,pics\\Redis_3.jpg,pics\\Banan_3.jpg,pics\\Goroh_3.jpg,0.461726782,pics\\Banan_2.jpg,pics\\Goroh_2.jpg,,,0.587405004,sound\\Noviy_plod.wav,sound\\Noviy_plod.wav,sound\\Tropicheskiy_plod.wav,,,
299,Lemon,sound\\Tropicheskiy_plod.wav,118,13,экспл_реал_без_названия,экспл,Limon,_4,Limon_4,,2036,pics\\Limon_4.jpg,204,,0,0,0,0,,292,sound\\Eto.wav,801,,68,sound\\Kisliy_li_on.wav,да,804,2188,pics\\dis3.jpg,pics\\dis3.jpg,,pics\\Limon_4.jpg,0,pics\\Redis_4.jpg,pics\\Redis,,pics\\Redis_4.jpg,pics\\Banan_4.jpg,pics\\Goroh_4.jpg,0.296616562,pics\\Banan_6.jpg,pics\\Goroh_6.jpg,,,0.262567417,sound\\Noviy_plod.wav,sound\\Redkiy_plod.wav,sound\\Tropicheskiy_plod.wav,,,
299,Lemon,sound\\Tropicheskiy_plod.wav,118,13,экспл_реал_без_названия,экспл,Limon,_5,Limon_5,,2037,pics\\Limon_5.jpg,204,,0,0,0,0,,293,sound\\Na_kartinke.wav,801,,69,sound\\Sochniy_li_on.wav,да,804,2192,pics\\dis32.jpg,pics\\dis32.jpg,,pics\\Limon_5.jpg,0,pics\\Redis_5.jpg,pics\\Redis,,pics\\Redis_5.jpg,pics\\Banan_5.jpg,pics\\Goroh_5.jpg,0.215649839,pics\\Injir_1.jpg,pics\\Tikva_1.jpg,,,0.279707707,sound\\Noviy_plod.wav,sound\\Redkiy_plod.wav,sound\\Tropicheskiy_plod.wav,,,
299,Lemon,sound\\Tropicheskiy_plod.wav,118,13,экспл_реал_без_названия,экспл,Limon,_6,Limon_6,,2038,pics\\Limon_6.jpg,204,,0,0,0,0,,294,sound\\Na_monitore.wav,801,,70,sound\\Uprugiy_li_on.wav,да,804,2171,pics\\dis22.jpg,pics\\dis22.jpg,,pics\\Limon_6.jpg,0,pics\\Redis_6.jpg,pics\\Redis,,pics\\Redis_6.jpg,pics\\Banan_6.jpg,pics\\Goroh_6.jpg,0.247722544,pics\\Banan_7.jpg,pics\\Goroh_7.jpg,,,0.467165082,sound\\Noviy_plod.wav,sound\\Redkiy_plod.wav,sound\\Tropicheskiy_plod.wav,,,
299,Lemon,sound\\Tropicheskiy_plod.wav,118,13,экспл_реал_без_названия,экспл,Limon,_7,Limon_7,,2039,pics\\Limon_7.jpg,204,,0,0,0,0,,295,sound\\Pered_vami.wav,801,,71,sound\\On_dlinniy.wav,нет,804,2177,pics\\dis35.jpg,pics\\dis35.jpg,,pics\\Limon_7.jpg,0,pics\\Redis_7.jpg,pics\\Redis,,pics\\Redis_7.jpg,pics\\Banan_7.jpg,pics\\Goroh_7.jpg,0.191041141,pics\\Injir_3.jpg,pics\\Tikva_3.jpg,,,0.628491629,sound\\Noviy_plod.wav,sound\\Noviy_plod.wav,sound\\Tropicheskiy_plod.wav,,,
299,Lemon,sound\\Tropicheskiy_plod.wav,118,13,экспл_реал_без_названия,экспл,Limon,_8,Limon_8,,2040,pics\\Limon_8.jpg,204,,0,0,0,0,,296,sound\\Vi_vidite.wav,801,,72,sound\\On_bez_kozhuri.wav,нет,804,2184,pics\\dis19.jpg,pics\\dis19.jpg,,pics\\Limon_8.jpg,0,pics\\Redis_8.jpg,pics\\Redis,,pics\\Redis_8.jpg,pics\\Banan_8.jpg,pics\\Goroh_8.jpg,0.852273727,pics\\Limon_5.jpg,pics\\Redis_5.jpg,,,0.024354341,sound\\Noviy_plod.wav,sound\\Redkiy_plod.wav,sound\\Tropicheskiy_plod.wav,,,
1203,Coconut,sound\\Coconut.wav,102,10,импл_реал_с_названием,импл_,Kokos,_1,Kokos_1,,2025,pics\\Kokos_1.jpg,203,,185,sound\\S_molokom_li.wav,801,да,,0,0,0,,0,0,0,0,2165,pics\\Tikva_5.jpg,0,pics\\Tikva_5.jpg,,sound\\Tropic,pics\\Banan_1.jpg,pics\\Banan,pics\\Banan_1.jpg,,pics\\Injir_1.jpg,pics\\Tikva_1.jpg,0.143449281,pics\\Injir_5.jpg,pics\\Tikva_5.jpg,,pics\\Tikva_5.jpg,0.247898738,sound\\Noviy_plod.wav,sound\\Redkiy_plod.wav,sound\\Tropicheskiy_plod.wav,,,
1203,Coconut,sound\\Coconut.wav,102,10,импл_реал_с_названием,импл_,Kokos,_2,Kokos_2,,2026,pics\\Kokos_2.jpg,203,,186,sound\\Polyi_li.wav,801,да,,0,0,0,,0,0,0,0,2052,pics\\Redis_4.jpg,0,pics\\Redis_4.jpg,,sound\\Tropic,pics\\Banan_2.jpg,pics\\Banan,pics\\Banan_2.jpg,,pics\\Injir_2.jpg,pics\\Tikva_2.jpg,0.874415119,pics\\Limon_4.jpg,pics\\Redis_4.jpg,,pics\\Redis_4.jpg,0.777742944,sound\\Noviy_plod.wav,sound\\Noviy_plod.wav,sound\\Tropicheskiy_plod.wav,,,
1203,Coconut,sound\\Coconut.wav,102,10,импл_реал_с_названием,импл_,Kokos,_3,Kokos_3,,2027,pics\\Kokos_3.jpg,203,,187,sound\\Glagkiy_li.wav,801,нет,,0,0,0,,0,0,0,0,2054,pics\\Redis_6.jpg,0,pics\\Redis_6.jpg,,sound\\Tropic,pics\\Banan_3.jpg,pics\\Banan,pics\\Banan_3.jpg,,pics\\Injir_3.jpg,pics\\Tikva_3.jpg,0.828189904,pics\\Limon_6.jpg,pics\\Redis_6.jpg,,pics\\Redis_6.jpg,0.933970834,sound\\Noviy_plod.wav,sound\\Noviy_plod.wav,sound\\Tropicheskiy_plod.wav,,,
